"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Carlow",518
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Dublin City",15606
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Dun Laoghaire-Rathdown",5630
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Fingal",9355
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","South Dublin",9244
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Kildare",3297
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Kilkenny",875
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Laois",1043
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Longford",603
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Louth",1796
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Meath",1996
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Offaly",617
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Westmeath",1489
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Wexford",826
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Wicklow",1669
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Clare",1368
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Cork City",2667
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Cork County",3681
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Kerry",1508
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Limerick City and County",3505
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Tipperary",1245
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Waterford City and County",1539
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Galway City",1976
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Galway County",1411
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Leitrim",269
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Mayo",1298
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Roscommon",713
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Sligo",886
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Cavan",897
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Donegal",1311
"Asian or Asian Irish - any other Asian background","Both sexes","All ages","Monaghan",435
